State,Visits,Value
000000000000000002000000200000010000001102,1,-1.0
000000000000000002000000200000010000011122,1,-1.0
000000000000000000000000000000020000011200,1,-1.0
000000000000000000000000200000021000011200,1,-1.0
000000000000000000000000200002021000111200,1,-1.0
000000000000000000000000000000010000012002,1,-1.0
000000000000000000000002000000110000012002,1,-1.0
000000000000000000000002200000110000012102,1,-1.0
000000000000000001000002200000112000012102,1,-1.0
000000000000000021000002200000112010012102,1,-1.0
000000000200000021000002200000112010012112,1,-1.0
001000000200000021000002200000112012012112,1,-1.0
001000000200000021000002200100112012212112,1,-1.0
001000000200000021000002200112112012212112,1,-1.0
001000000200000021001022200112112012212112,1,-1.0
000000000000000000000000000000001000201200,1,1.0
000000000000000000000000010000021000201200,1,1.0
000000000000000000000000010000021020201201,1,1.0
000000000000000000200000010100021020201201,1,1.0
000000000000000000200000210100021020201211,1,1.0
000000000000000002201000210100021020201211,1,1.0
000000000020000002201000210100021120201211,1,1.0
000000000000000000000000000000000000022011,2,0.0
000000000000000000000000000000000010222011,1,1.0
000000000000000000000000000000000011222211,1,1.0
000000000000000000000000000000002000001201,3,0.3333333333333333
000000000000000000000000010000022000001201,2,0.0
000000000000000000000000210000022010001201,1,1.0
000000000000000000002000210100022010001201,1,1.0
000000000000000002102000210100022010001201,1,1.0
000000000012000002102000210100022010001201,1,1.0
000000000012000002102000210100222010011201,1,1.0
000000000012000002102000210100222011211201,1,1.0
000000000012000002102020210101222011211201,1,1.0
000000000012000202102020210111222011211201,1,1.0
000000000012000202102122210111222011211201,1,1.0
000000000000000000000000000000200000010000,4,-0.5
000000000000000000000000000000200000011200,3,-1.0
000000000000000000000000200000210000011200,1,-1.0
000000000000000000000000200000210002111200,1,-1.0
000000000000000020000001200000210002111200,1,-1.0
000000000000000020000001200000211002111202,1,-1.0
000000000000000022000001200000211012111202,1,-1.0
000000000200000022000001210000211012111202,1,-1.0
000000000220000022000001210000211012111212,1,-1.0
000000000000000000000000000000000200012010,1,-1.0
000000000000000000000000002000000200012011,1,-1.0
000000000000000000010000002000020200012011,1,-1.0
000000000000000000010000202000020210012011,1,-1.0
000000000000000000012000202100020210012011,1,-1.0
000000000000000001012000202100020210012211,1,-1.0
000000000000000001012000202100221210012211,1,-1.0
000000000000000021012001202100221210012211,1,-1.0
000000000020100021012001202100221210012211,1,-1.0
000000000020100021012001202120221211012211,1,-1.0
000001000020100021012201202120221211012211,1,-1.0
000001000020100021212201212120221211012211,1,-1.0
000000000000000000000000000000000002021100,1,-1.0
000000000000000000000000000000020002021110,1,-1.0
000000000000000000000001000000200002011200,1,-1.0
000000000000000000000001000000201002011202,1,-1.0
000000000000000000000001020000211002011202,1,-1.0
000000000000000000100001220000211002011202,1,-1.0
000000000000000002100001220000211012011202,1,-1.0
000000000012000002100001220000211012011202,1,-1.0
000100000012000002100001220000211012011222,1,-1.0
000000000000000000000000000000000020122011,1,-1.0
000000000000000000000000000000010020122211,1,-1.0
000000000000000000000000000002110020122211,1,-1.0
000000000000000000000000000002112120122211,1,-1.0
000000000000000000000000012002112120122211,1,-1.0
000000000000000000100000212002112120122211,1,-1.0
000000000000000000000000000000000001012200,1,-1.0
000000000000000000000000000000002001012201,1,-1.0
000000000000000000000000000000122001012201,1,-1.0
000000000000000000000000000000122021112201,1,-1.0
000000000000000000000000100200122021112201,1,-1.0
000000000000000002000001100200122021112201,1,-1.0
000000000000000000000000200000010000101022,1,-1.0
000000000000000000000000200000010000111222,1,-1.0
000000000000000000000000000000020000001000,15,-0.2
000000000000000000000000000000020001001002,1,1.0
000000000000000000000000000000020001211002,1,1.0
000000000000000000000000200000020011211002,1,1.0
000000000000000000000000200000020011211122,1,1.0
000000000000000000000000200001022011211122,1,1.0
000000000000000001000000200001022211211122,1,1.0
000000000000000001000002200001122211211122,1,1.0
000000000000000021000002201001122211211122,1,1.0
000000000000000000000000000000021000002100,2,-1.0
000000000000000000000000100000021000002102,1,-1.0
000000000000000000000000110000021020002102,1,-1.0
000000000000000000000000000000020000211000,3,0.3333333333333333
000000000000000000000000000000020000211210,1,1.0
000000000000000000000000000000022100211210,1,1.0
000000000000000000020000001000022100211210,1,1.0
000000000000000000020000011000022100211212,1,1.0
000000000000000000020020011001022100211212,1,1.0
000000000000000002020020111001022100211212,1,1.0
000000000000100002220020111001022100211212,1,1.0
000000002000100102220020111001022100211212,1,1.0
000001002002100102220020111001022100211212,1,1.0
020001002002100102220020111001022101211212,1,1.0
020001002002100102220020111201022111211212,1,1.0
020011002002100102222020111201022111211212,1,1.0
000000000000000000000000000000020000021010,1,-1.0
000000000000000000000000000000220100021010,1,-1.0
000000000000000000020000001000220100021010,1,-1.0
000000000000000000020000001000220100021211,1,-1.0
000000000000000000020001001000222100021211,1,-1.0
000000000000000000220001011000222100021211,1,-1.0
000000000000000000000000000000000000000021,1,1.0
000000000000000000000000200000010000201021,1,1.0
000000000000000000000000200000010120201021,1,1.0
000000000000000001000000200200010120201021,1,1.0
000000000000000001001000202200010120201021,1,1.0
000000000000000001001000202200210120211021,1,1.0
000000000000000001001000202200210122211121,1,1.0
000000000000000001001001202220210122211121,1,1.0
000000000000000011001201202220210122211121,1,1.0
000000000100002011001201202220210122211121,1,1.0
000000000000000000000000000000000000002112,1,1.0
000000000000000000000000020000001000002112,1,1.0
000000000000000000000000020000011200002112,1,1.0
000000000000000000100000022000011200002112,1,1.0
000000000000000000100000222000011200102112,1,1.0
000000000000000002100000222001011200102112,1,1.0
000000000000000000000000000000000100021020,1,-1.0
000000000000000000000000200000010100021020,1,-1.0
000000000000000000000000200000210100021120,1,-1.0
000000000000000000000001200000212100021120,1,-1.0
000000000000000010000001220000212100021120,1,-1.0
000000000100000010200001220000212100021120,1,-1.0
000000000000000000000000000000010000012200,1,-1.0
000000000000000000000000000000012000012201,1,-1.0
000000000000000000200000010000012000012201,1,-1.0
000000000000000000200000010000112020012201,1,-1.0
000000000000000000200000110200112020012201,1,-1.0
000000000000000001202000110200112020012201,1,-1.0
000000000000000000000000000000000000012102,1,1.0
000000000000000000000000000000002010012102,1,1.0
000000000000000000000000020000102010012102,1,1.0
000000000000000000200000020100102010012102,1,1.0
000000000002000000200001020100102010012102,1,1.0
000000000000000000000000000000002001202110,1,1.0
000000000000000000000000000000022001212110,1,1.0
000000000000000000000002000000122001212110,1,1.0
000000000000000020000002000000122101212110,1,1.0
000000000000000020000002010002122101212110,1,1.0
000000000000000020000002012002122101212111,1,1.0
000000000100000020000022012002122101212111,1,1.0
000000000100000220000022012002122111212111,1,1.0
000000000000000000000000000000000000211020,2,0.0
000000000000000000000000000000000001211220,1,-1.0
000000000000000000000000000000010201211220,1,-1.0
000000000000000000000000002001010201211220,1,-1.0
000000000000000000010000002001210201211220,1,-1.0
000000000000000000010000102001210201211222,1,-1.0
000000000000000000000002000000200000010010,1,1.0
000000000000000000000002000000200000011210,1,1.0
000000000000000000000002000000200002111210,1,1.0
000000000000000010000002000000202002111210,1,1.0
000000000000000010000002000001202202111210,1,1.0
000000000000000010000002010001222202111210,1,1.0
000000000000000000000000000000000001200000,2,0.0
000000000000000000000000000000000001202100,1,-1.0
000000000000000000000000000012000001202100,1,-1.0
000000000000000000000010000012002001202100,1,-1.0
000000000000000000000110000012022001202100,1,-1.0
000000000000000000000000000000000001002000,1,-1.0
000000000000000000000000000020000001002100,1,-1.0
000000000000000000000200000020010001002100,1,-1.0
000000000000001000000200200020010001002100,1,-1.0
000000000000001000000200220020011001002100,1,-1.0
000000000000001001000200220020011001002102,1,-1.0
000000000010001001000200220020011021002102,1,-1.0
000000000010001001000200220120011021202102,1,-1.0
000000000010001001100200220122011021202102,1,-1.0
000000000010001001100220220122011021202112,1,-1.0
000000000010001101100220220122011021222112,1,-1.0
000000000010001101100220220122211121222112,1,-1.0
000000000000000000000000000000200000012001,1,1.0
000000000000000000000000000000220000112001,1,1.0
000000000000000000000000000200220010112001,1,1.0
000000000000000000002000100200220010112001,1,1.0
000000000000020000002000100200220010112011,1,1.0
000000200000020000002000100201220010112011,1,1.0
000000000000000000000000000000200000110200,1,1.0
000000000000000020000001000000200000110200,1,1.0
000000000000000020000001000000200002111200,1,1.0
000000000000000020000001000020201002111200,1,1.0
000000000000000020000201000021201002111200,1,1.0
000000000000001020000201000021221002111200,1,1.0
000000000000001220000211000021221002111200,1,1.0
000000000000001220000211120021221002111200,1,1.0
000000000000001222100211120021221002111200,1,1.0
000000000100001222100211120021221002111202,1,1.0
000000001120001222100211120021221002111202,1,1.0
002000001120001222100211120021221012111202,1,1.0
002100021120001222100211120021221012111202,1,1.0
012100021122001222100211120021221012111202,1,1.0
012100021122001222102211120121221012111202,1,1.0
012100021122021222102211120121221012111212,1,1.0
012100221122021222102211120121221112111212,1,1.0
012100221122021222122211121121221112111212,1,1.0
000000000000000000000000000000020000211102,2,-1.0
000000000000000000000000000000012000002100,1,1.0
000000000000000000000000010000012002002100,1,1.0
000000000002000000100000010000012002002100,1,1.0
000000000002000000100000010000212002012100,1,1.0
000020000002000000100000010000212002012110,1,1.0
000020000002000000100002010000212002012111,1,1.0
000020000002000020100002010000212012012111,1,1.0
000020000202000020100002010100212012012111,1,1.0
000000000000000000000000000000002000000112,1,1.0
000000000000000000000000000000002100002112,1,1.0
000000000000000000000000000000202100012112,1,1.0
000000000000000000020000001000202100012112,1,1.0
000000000000000000020001021000202100012112,1,1.0
000000000000000000220001021000212100012112,1,1.0
000000000002000010220001021000212100012112,1,1.0
000000000000000000000000000000200001211200,1,-1.0
000000000000000000000000000000210001211202,1,-1.0
000000000000000000000000100000212001211202,1,-1.0
000000000000000000000000000000002000010201,1,-1.0
000000000000000000000000020000102000010201,1,-1.0
000000000000000000100000020000102000210201,1,-1.0
000000000000000020100001020000102000210201,1,-1.0
000000000000000020100001020002102010210201,1,-1.0
